month,mrr,active_customers,arpu,mrr_growth
2024-01,15560.0,772,20.155440414507773,
2024-02,51920.0,1193,43.52053646269908,2.3367609254498714
2024-03,86200.0,1374,62.73653566229986,0.6602465331278891
2024-04,113754.0,1449,78.50517598343686,0.31965197215777263
2024-05,136897.0,1460,93.76506849315068,0.20344779084691522
2024-06,156427.0,1488,105.12567204301075,0.14266200135868568
2024-07,175062.0,1508,116.08885941644563,0.11912905061146728
2024-08,197125.0,1674,117.75686977299881,0.12602963521495236
2024-09,220809.0,1953,113.06144393241168,0.12014711477488893
2024-10,254521.0,2206,115.37669990933817,0.15267493625712714
2024-11,289706.0,2359,122.80881729546418,0.13824006663497324
2024-12,318545.0,2339,136.1885421120137,0.09954574637736191
2025-01,312065.0,1753,178.01768397033658,-0.020342494780957177
2025-02,312065.0,1488,209.72110215053763,0.0
2025-03,312065.0,1488,209.72110215053763,0.0
2025-04,312065.0,1488,209.72110215053763,0.0
2025-05,312065.0,1488,209.72110215053763,0.0
2025-06,312065.0,1488,209.72110215053763,0.0
2025-07,312065.0,1488,209.72110215053763,0.0
2025-08,312065.0,1488,209.72110215053763,0.0
2025-09,312065.0,1488,209.72110215053763,0.0
2025-10,312065.0,1488,209.72110215053763,0.0
2025-11,312065.0,1488,209.72110215053763,0.0
2025-12,312065.0,1488,209.72110215053763,0.0
